"Countries"," 15-24 employment t (%)","Alcohol consumption","Man BMI","Children per woman","Female 15-19 years (%)","Cholesterol in blood, men","Tobacco use among adults "
"Japan","40.700000762939","2.89","20.88994","2.82","13.057132155925","4.41907","29.6"
"Jordan","20.299999237061","10.68","21.55427","2.49","10.476531709065","4.50527","26.1"
"Kazakhstan","40.799999237061","5","25.11463","1.87","7.0167064439141","4.983164","25.8"
"Kenya","59.400001525879","8.03","26.53882","4.56","7.9336885731202","4.833929","28.7"
"Korea, Dem. Rep.","39.700000762939","0.71","27.41975","1.99","4.6213476446035","5.500844","29.6"
"Korea, Rep.","30.799999237061","10.96","26.81523","2.91","9.3245227606461","5.107382","25.8"
"Kuwait","31.799999237061","4.14","26.26249","1.32","4.9163244038497","5.288292","62.7"
"Kyrgyzstan","39","3.71","23.73732","2.47","10.950795412505","4.464021","39"
"Laos","64.699996948242","0.1","23.34532","1.31","9.7693180385731","5.184862","29.1"
"Latvia","32.299999237061","5.09","27.17381","3.73","11.759130192361","4.987465","54.4"
"Lebanon","28.60000038147","6.73","25.76711","2.28","7.6239946380697","4.849431","29.5"
"Lesotho","42.5","12.5","21.38233","4.92","6.2354215261579","4.304781","24.7"
"Liberia","56.5","2.23","28.8072","3.32","8.4808946877912","4.532891","35.4"
"Libya","28.60000038147","5.55","22.00731","2.01","11.027190332326","4.242375","45"
"Lithuania","21.10000038147","5.06","23.7849","1.2","11.382113821138","4.807299","25.6"
"Luxembourg","25.10000038147","0.11","28.67629","1.39","7.4313408723748","5.216116","39"
"Macao, China","35.599998474121","15.03","24.51638","2.58","8.9731285988484","4.424785","42"
"Madagascar","72.300003051758","13.01","20.79999","3.56","11.80358829084","4.347812","44"
"Malawi","49.099998474121","8.51","26.04137","3.56","10.595238095238","5.124074","51"
"Malaysia","44.099998474121","1.33","26.90386","1.77","10.070175438597","4.760962","26.1"
"Maldives","46.099998474121","1.74","21.51798","3.56","7.3464912280702","4.09212","44.5"
"Mali","35.5","0.82","21.76799","5.46","5.531914893617","3.823429","40.5"
"Malta","46.099998474121","1.04","26.27448","2.79","8.6274509803922","4.651761","36.5"
"Martinique","14.39999961853","4.27","26.49493","1.28","7.6620825147348","5.155229","55.1"
"Mauritania","31.200000762939","0.11","27.12382","1.41","10.531674208145","5.607367","46.4"
"Mauritius","33","3.72","25.24306","1.75","10.171461784365","5.070593","42"
"Mexico","44.400001525879","8.42","26.07165","2.56","9.811230964467","4.799207","63.7"
"Mongolia","35.900001525879","5.5","21.24992","2.44","13.194444444444","4.224006","30.1"
"Morocco","36","18.22","21.73955","1.3","11.214953271028","4.208585","49.3"
"Mozambique","64.599998474121","3.24","24.39334","1.29","6.8965517241379","4.973498","47.5"
"Myanmar","54.900001525879","1.46","22.79395","5.37","7.2115384615385","4.612195","38.9"
"Namibia","14.39999961853","2.38","21.50232","2.26","10.64406779661","3.968096","42"
"Nepal","45.900001525879","0.57","27.46856","5.45","7.6190476190476","5.358681","36.6"
"Netherlands","61.799999237061","9.62","28.88675","1.26","11.494252873563","4.817326","36.1"
"Netherlands Antilles","20.60000038147","4.83","22.35387","1.24","9.5173835629276","4.155478","49.9"
"New Zealand","56.799999237061","2.41","24.8083","1.32","11.111111111111","4.928039","31.8"
"Nicaragua","47.299999237061","10.05","27.13567","4.5","9.746192893401","4.912261","36.6"
"Niger","51.200000762939","9.62","27.77213","7.29","12.286158631415","4.951939","57.1"
"Nigeria","25.10000038147","5.37","23.99155","3.87","7.8616352201258","4.570778","37.4"
"Norway","51.5","0.34","24.43532","1.79","10.590210512721","4.685984","63.6"
"Oman","28.60000038147","12.28","26.25773","1.43","10.150585610708","4.980204","45.7"
"Pakistan","40.099998474121","9.85","25.3194","3.4","9.6313719128918","4.562069","26.1"
"Panama","38.400001525879","18.28","21.59168","1.12","11.154598825832","4.305614","26.5"
"Papua New Guinea","54.599998474121","7.81","21.04131","3.64","10.397486482537","4.270329","31.1"
"Paraguay","57.400001525879","0.94","22.20702","5.64","5.8951965065502","4.450149","32.8"
"Peru","50","0.06","33.2964","1.54","7","4.802662","43.2"
"Philippines","39.5","10.1","20.73189","6.79","8.4745762711864","4.196501","46.9"
"Poland","20.299999237061","6.85","25.72061","1.33","7.1907957813998","5.410759","54.4"
"Portugal","35.900001525879","3.49","27.35193","1.63","11.285038223517","5.128161","45.1"
"Puerto Rico","30.39999961853","7.88","27.3821","0.85","10.413803634143","5.275222","39.1"
"Qatar","37","6.9","25.50722","1.52","10.734431167503","4.353627","32.8"
"Moldova","17.39999961853","6.38","21.02509","5.04","6.2045357295678","3.834931","46.1"
"Reunion","16","13.25","22.6806","5.95","11.936339522546","3.761727","29.7"
"Romania","25.5","14.55","26.61797","2.22","11.55368567801","5.438603","38.3"
"Russia","32.700000762939","5.75","25.89545","2.51","9.1932457786116","4.959515","33.6"
"Rwanda","65.800003051758","1.25","22.15676","6.8","10.212907518297","4.486657","43.9"
"Saudi Arabia","25.200000762939","15.3","29.76823","1.38","10.856164383562","5.112341","40.6"
"Senegal","54.5","15.76","25.86856","4.38","10.060536177573","4.721964","45.8"
"Serbia and Montenegro","27.10000038147","9.8","24.75387","1.96","10.546046116848","4.626554","40.6"
"Sierra Leone","41.299999237061","9.43","25.24504","5.1","7.20113515431","4.660546","70.1"
"Singapore","36.799999237061","11.85","24.50203","1.75","5.3656743844175","4.691816","42.3"
"Slovak Republic","25.799999237061","5.44","22.67081","4.38","7.1779744346116","4.692953","41.6"
"Slovenia","32.5","4.8","26.37137","2.45","8.7866108786611","5.27003","31.8"
"Solomon Islands","52.900001525879","8.74","26.4613","3.82","8.4367245657568","5.216079","36.4"
"Somalia","55.900001525879","0.25","27.92199","1.49","7.5543135310556","4.90504","19.6"
"South Africa","14.199999809265","0.6","27.69226","4.38","7.7765764826948","5.186021","30.7"
"Spain","40.400001525879","11.09","25.0632","2.19","12.774193548387","4.894975","46.1"
"Sri Lanka","32.700000762939","10.59","25.54944","1.76","10.46511627907","4.926272","29.7"
"Sudan","24.60000038147","9.72","22.26357","4.38","9.4339622641509","4.079505","51.6"
"Suriname","19.39999961853","1.55","27.81906","2.39","10.46511627907","4.746467","46.1"
"Swaziland","26.89999961853","13.33","24.40291","5.67","11.842105263158","4.614459","29.7"
"Sweden","41.099998474121","15.19","25.05374","2.14","10.903928064363","4.541497","36.7"
"Switzerland","59.799999237061","1.66","29.90551","1.43","11.160007041014","4.48858","24.2"
"Syria","33.200000762939","0.5","23.10325","3.4","7.0038129640779","3.945895","47"
"Taiwan","26.799999237061","9.46","27.52896","3.34","10.502283105023","4.708865","42"
"Tajikistan","29.799999237061","","21.67412","1.71","6.4181217555451","4.082999","58.6"
"Tanzania","70.300003051758","11.62","26.26456","2.04","7.2766570605187","4.905337","33.1"
"Thailand","49.200000762939","0.79","25.14325","2.24","5.95703125","5.242177","65.9"
"Macedonia, FYR","12.39999961853","2.56","22.19761","2.05","10.526315789474","3.805224","44.5"
"Togo","52.200000762939","6.09","23.80876","3.4","10.061699098244","5.133095","46.5"
"Trinidad and Tobago","45.400001525879","5.7","26.62371","2.85","10.274056777682","5.091303","34.8"
"Tunisia","22.89999961853","10.1","27.16275","7.62","5.1659504434488","5.206767","30.2"
"Turkey","32.599998474121","11.06","26.82223","6.02","8.8607594936709","4.454154","39.8"
"Turkmenistan","34.200000762939","1.43","21.77287","5.04","10.592581031164","4.219541","43.4"
"Uganda","75.699996948242","3.39","25.85105","2.29","9.2741935483871","4.444944","27.7"
"Ukraine","34.5","6.75","27.17847","1.26","12.629757785467","5.269714","38.1"
"United Arab Emirates","47.5","7.08","21.74239","2.52","6.2937062937063","4.477227","40.5"
"United Kingdom","58.099998474121","0.86","22.0473","1.84","5.6300973428045","4.492638","59.5"
"United States","52.400001525879","1.99","25.12524","2.95","11.748547279451","4.521895","36.1"
"Uruguay","39.400001525879","3.78","22.8175","3.79","12.488632919066","4.409926","23.6"
"Uzbekistan","36.099998474121","6.28","26.1255","2.49","10.816326530612","5.239003","44.3"
"Venezuela","34.799999237061","1.29","26.0288","2.7","7.8129199892483","5.34666","42"
"Vietnam","54","2.87","26.67649","4.23","10.905349794239","4.67869","65"
"West Bank and Gaza","16.60000038147","4.63","24.26291","3.27","10.964332892999","4.843212","54.4"
